time,condition,ROI,average
-4,DCZ,Lt_CAU,1.000093906
-3,DCZ,Lt_CAU,0.999961837
-2,DCZ,Lt_CAU,0.999314005
-1,DCZ,Lt_CAU,0.999937396
0,DCZ,Lt_CAU,0.999249464
1,DCZ,Lt_CAU,1.001457192
2,DCZ,Lt_CAU,1.001878406
3,DCZ,Lt_CAU,1.002562765
4,DCZ,Lt_CAU,1.003308523
5,DCZ,Lt_CAU,1.005354194
6,DCZ,Lt_CAU,1.007640705
7,DCZ,Lt_CAU,1.007528154
8,DCZ,Lt_CAU,1.00778845
9,DCZ,Lt_CAU,1.008091415
10,DCZ,Lt_CAU,1.0082675
11,DCZ,Lt_CAU,1.007171206
12,DCZ,Lt_CAU,1.008119504
13,DCZ,Lt_CAU,1.00929953
14,DCZ,Lt_CAU,1.007994241
15,DCZ,Lt_CAU,1.007024665
